,0
He8,2.0900152450931554e-07
Be7,9.159350552537239e-09
Be11,4.5223063228870545e-07
B12,1.8951964403133928e-08
B13,9.158288733451337e-08
B14,2.0540828350237695e-06
C10,3.51252395492683e-07
C11,1.937595703035796e-07
C15,1.228997653616955e-06
N12,2.5015029891800856e-07
N13,1.9376276480298356e-07
N16,1.5950424989194316e-06
N17,9.52026389590388e-09
N18,1.3208915251221684e-06
O14,8.955482544193299e-07
O15,1.937763031939506e-07
O19,2.3825659207124885e-07
O20,2.627766639456364e-07
O21,8.895183871318273e-07
F17,1.937763031939506e-07
F18,1.8798756146492574e-07
F20,4.608292278457068e-07
F21,1.1370786199498442e-07
F22,1.704146410058435e-06
F23,6.753678701577701e-07
F24,5.878085277356655e-07
Ne18,2.144312285366745e-07
Ne19,1.9388243823077597e-07
Ne23,3.132365582934338e-08
Ne24,1.0235052596581426e-07
Ne25,6.779789061774133e-08
Na20,5.713414372762531e-07
Na21,1.966904522072402e-07
Na22,5.09145496289295e-07
Na24,1.2303815806936397e-06
Na24m,8.579080858710748e-08
Na25,1.0424183285259282e-07
Na26,6.316662985680323e-07
Na27,2.9760667682693147e-07
Na28,3.3322793579791187e-07
Mg21,3.068951064211197e-07
Mg22,3.3344079965848425e-07
Mg23,2.0056684067090677e-07
Mg27,2.0960420904063102e-07
Mg28,3.464236854237527e-07
Mg29,5.38993343486704e-07
Al24,2.963448825991278e-06
Al24m,1.0294734283271e-07
Al25,1.9763828079916806e-07
Al26,6.942821659092265e-07
Al26m,1.9388243823077597e-07
Al28,5.159762773348244e-07
Al29,3.70824308198134e-07
Al30,1.0676215083927917e-06
Al31,2.073234455366198e-07
Al32,1.6986240201822608e-07
Si25,1.9406980062457568e-07
Si26,2.50090159872728e-07
Si27,1.9569367425499375e-07
Si31,2.3226493648547436e-10
Si33,6.709086280422344e-07
Si34,4.0094440480931206e-07
Si35,1.3990823896638755e-06
Si36,3.8310556305780184e-07
P28,1.375789884663119e-06
P29,5.648852914609187e-07
P30,1.9416436037426204e-07
P34,1.0211280446715774e-07
P35,4.4050029847346143e-07
P36,1.7674993939918784e-06
P38,8.288060970968582e-07
S29,7.588983329152216e-06
S30,3.231862075237479e-07
S31,1.9863826516021045e-07
S37,9.339847874843371e-07
S38,5.018187095982809e-07
S39,4.6375451634976693e-07
S40,3.457942709349321e-07
Cl32,1.2381620506477458e-06
Cl33,2.0167583834168852e-07
Cl34,1.9388243823077597e-07
Cl34m,5.253551663967277e-07
Cl36,2.9126449559038595e-12
Cl38,4.387708063446179e-07
Cl38m,1.4172600284246743e-07
Cl39,3.729907992076832e-07
Cl40,1.228234827751546e-06
Ar33,2.788744132405736e-07
Ar34,2.1792431355876266e-07
Ar35,2.018901486372939e-07
Ar37,0.0
Ar41,3.3917006408194213e-07
Ar43,3.996504634400382e-07
Ar44,4.982214208865966e-07
Ar45,8.870247192448342e-07
Ar46,5.774835394120632e-07
K35,1.208974156686714e-06
K36,1.5741547866094942e-06
K37,2.1009676985619683e-07
K38,8.480415323736407e-07
K38m,1.9388243823077597e-07
K40,4.251726833473029e-08
K42,7.61452727873622e-08
K43,1.821890159645888e-07
K44,6.762171823157091e-07
K45,5.014560813712896e-07
K46,7.735461710372413e-07
K47,7.292367445281083e-07
K48,2.050468635163618e-06
Ca37,2.248698640948669e-07
Ca38,2.912738165384346e-07
Ca39,1.9406980309760627e-07
Ca41,0.0
Ca45,8.474361562399563e-16
Ca47,2.757185039485352e-07
Ca49,1.007688524804388e-06
Sc40,2.1167951701026878e-06
Sc41,1.94164356299203e-07
Sc42,1.9388243823077597e-07
Sc42m,1.0065210257686629e-06
Sc43,1.8507527768246872e-07
Sc44,4.829045952600923e-07
Sc44m,4.2495639142949263e-08
Sc45m,4.5460342360364524e-11
Sc46,4.930487215585696e-07
Sc46m,8.001254888335366e-09
Sc47,1.0981741829796797e-08
Sc48,8.456824798961571e-07
Sc49,3.003479787396156e-10
Sc50,8.203096875238902e-07
Sc50m,3.8219570722352956e-08
Sc51,6.565221121647819e-07
Sc52,7.739785408100792e-07
Ti41,2.178671732249704e-07
Ti42,2.6848575336579503e-07
Ti43,2.4681530446584345e-07
Ti44,1.3512042515241834e-08
Ti45,1.6575119382984186e-07
Ti51,5.954013121254564e-08
Ti52,1.299710606948568e-08
Ti53,5.395509222104144e-07
V44,1.255447408083852e-06
V45,1.94046089233538e-07
V46,1.9395197745991675e-07
V46m,1.8064214190791645e-07
V47,1.899143934221596e-07
V48,7.12424391378841e-07
V49,0.0
V50,3.8765103034158857e-07
V52,3.924444203114598e-07
V53,2.5597768395287274e-07
V54,1.1178074375355216e-06
V55,1.4402191123784776e-07
Cr46,1.9406980062457568e-07
